id;year;hotel;price;score;avg_review;reviews_count
400;2023;Hotel Le Bellechasse Saint-Germain; 296;8.6;Superbe;1
401;2023;Hotel Champerret Elysees; 188;8.4;Tres bien;1
402;2023;Maison Armance - Esprit de France; 341;9;Fabuleux ;470
403;2023;Hotel Saint-Louis en L'Isle - Notre-Dame; 316;9.1;Fabuleux ;1
404;2023;Vice Versa; 165;7.8;Bien ;709
405;2023;ibis Paris Canal Saint Martin; 144;7.9;Bien ;1
406;2023;Hotel Mercure Paris Centre Gare Montparnasse; 216;8;Tres bien;1
407;2023;Hotel Brighton - Esprit de France; 384;8.4;Tres bien;1
408;2023;Hotel Chamar; 394;9.9;Exceptionnel;10
409;2023;Helussi Hotel; 167;8.8;Superbe;1
410;2023;Hotel A La Villa des Artistes; 193;8.6;Superbe;1
411;2023;Hotel Les Dames du Pantheon; 244;8.8;Superbe;961
412;2023;Holiday Inn Paris-Auteuil, an IHG Hotel; 131;8.5;Tres bien;1
413;2023;Austin's Arts Et Metiers Hotel; 283;8.2;Tres bien;2
414;2023;Hotel Palm - Astotel; 155;8.9;Superbe;1
415;2023;Hotel Marais Bastille; 190;8.4;Tres bien;941
416;2023;Les Artistes; 223;9;Fabuleux ;551
417;2023;Hotel Villa Nicolo - Tour Eiffel; 239;8.9;Superbe;1
418;2023;Courtyard by Marriott Paris Gare de Lyon; 287;8.5;Tres bien;1
419;2023;Suites & Hotel Helzear Etoile; 258;8.2;Tres bien;1
420;2023;Le Petit Beaumarchais Hotel & Spa; 345;8.8;Superbe;1
421;2023;Hotel Toujours & Spa; 222;8.2;Tres bien;1
422;2023;Hotel Paris Louis Blanc; 163;8.4;Tres bien;610
423;2023;Hotel Saint-Louis Marais; 274;8.8;Superbe;1
424;2023;Hotel des Arts - Cite Bergere; 151;8.3;Tres bien;2
425;2023;Hotel des Pyrenees - Entre Bastille et Nation; 156;7.1;Bien ;550
426;2023;Pullman Paris Montparnasse; 297;8.4;Tres bien;2
427;2023;Hotel Le Presbytere; 430;9.2;Fabuleux ;1
428;2023;Hotel Parc Saint-Severin - Esprit de France; 307;9;Fabuleux ;981
429;2023;Hotel La Tamise - Esprit de France; 351;8.9;Superbe;366
430;2023;Hotel Therese; 219;8.4;Tres bien;869
431;2023;Hotel de la Place du Louvre - Esprit de France; 296;8;Tres bien;309
432;2023;Hotel de Flore - Montmartre; 186;8.6;Superbe;3
433;2023;Hotel Josephine by Happyculture; 144;8;Tres bien;1
434;2023;Hotel Royal Opera; 213;7.4;Bien ;1
435;2023;Maison Souquet, Hotel & Spa; 584;9.2;Fabuleux ;502
436;2023;LE TEMPS D'UNE PAUSE; 115;7.3;Bien ;78
437;2023;Hotel des Grands Hommes; 238;8.9;Superbe;390
438;2023;Hotel Elysees Opera; 360;8.4;Tres bien;975
439;2023;Cour des Vosges - Evok Collection; 573;8.7;Superbe;212
440;2023;Regyn's Montmartre; 132;7.8;Bien ;2
441;2023;Hotel Capfun Le Saint Germain, Paris; 229;8.2;Tres bien;861
442;2023;Hotel 34B - Astotel; 176;8.8;Superbe;2
443;2023;Hotel Lodge In Paris 13; 105;6.8;Note;3
444;2023;Hotel Britannique; 197;8.9;Superbe;1
445;2023;Hotel Pastel Paris; 238;8.3;Tres bien;710
446;2023;Hotel Poussin; 189;7.1;Bien ;406
447;2023;Hotel Bellevue Montmartre; 172;7.4;Bien ;233
448;2023;Abaca Messidor by Happyculture; 142;8.1;Tres bien;3
449;2023;Hotel de la Tour; 149;8.2;Tres bien;587
450;2023;HOTEL DE PARIS MONTPARNASSE; 156;7.9;Bien ;2
451;2023;Virgina; 114;8.3;Tres bien;3
452;2023;Hotel Montparnasse Saint Germain; 161;7.9;Bien ;1
453;2023;Saphir Grenelle; 120;7.1;Bien ;1
454;2023;Hotel Opera Maintenon; 271;8.3;Tres bien;1
455;2023;District Nation; 134;8.7;Superbe;830
456;2023;Hotel Elysees Flaubert; 172;8.4;Tres bien;1
457;2023;Hotel Le Royal Monceau Raffles Paris; 1280;8.9;Superbe;99
458;2023;Elysees Union; 204;8.3;Tres bien;4
459;2023;Caulaincourt Montmartre by Hiphophostels; 135;8.1;Tres bien;3
460;2023;Hotel Parister & Spa; 278;8.3;Tres bien;844
461;2023;Hotel de Sevigne; 187;8.4;Tres bien;1
462;2023;La Villa Haussmann; 330;9;Fabuleux ;1
463;2023;Hotel Saint Pierre; 160;7.4;Bien ;3
464;2023;1K Paris; 161;7.5;Bien ;1
465;2023;Novotel Paris Gare De Lyon; 236;8.3;Tres bien;1
466;2023;Relais Bergson; 158;7.6;Bien ;1
467;2023;Verlain; 144;7.8;Bien ;1
468;2023;Le Pradey; 231;8.5;Tres bien;1
469;2023;Hotel Litteraire Marcel Ayme; 157;8.7;Superbe;1
470;2023;Hotel Tourisme Avenue; 246;8.9;Superbe;1
471;2023;Palym; 168;8.2;Tres bien;4
472;2023;Le Trente; 125;7.9;Bien ;1
473;2023;Chouette Hotel; 177;8.4;Tres bien;1
474;2023;Amazing 2 Rooms Flat near Bastille - An Ecoloflat; 452;8.4;Tres bien;97
475;2023;Hotel Des Marronniers; 356;8.2;Tres bien;873
476;2023;Familia Hotel; 151;8.2;Tres bien;3
477;2023;Hotel des Vosges; 103;8;Tres bien;1
478;2023;Libertel Gare Du Nord Suede; 149;8;Tres bien;1
479;2023;Odalys City Paris Montmartre; 167;8.7;Superbe;2
480;2023;Novotel Paris Vaugirard Montparnasse; 220;8;Tres bien;2
481;2023;Hotel Joe M; 171;8.4;Tres bien;1
482;2023;Hotel Duquesne Eiffel; 200;8.3;Tres bien;1
483;2023;La Maison Gobert Paris Hotel Particulier; 275;9.2;Fabuleux ;550
484;2023;Hotel Saint Roch; 215;7.5;Bien ;1
485;2023;Fred'Hotel; 140;8.2;Tres bien;1
486;2023;Beauquartier - Butte aux cailles; 245;9;Fabuleux ;175
487;2023;Hotel Bastille Speria; 190;8.6;Superbe;1
488;2023;Too Hotel Paris - MGallery; 253;8.9;Superbe;1
489;2023;ibis Paris Gare De L'Est TGV; 152;7.4;Bien ;2
490;2023;Hotel Magellan; 209;8.7;Superbe;1
491;2023;Hotel Monge; 330;9.3;Fabuleux ;1
492;2023;Hotel Augustin - Astotel; 176;8.8;Superbe;1
493;2023;Motel One Paris-Porte Doree; 229;8.7;Superbe;7
494;2023;Hotel International Paris; 164;8.3;Tres bien;776
495;2023;My Home In Paris; 261;9.1;Fabuleux ;904
496;2023;Au Pacific Hotel; 139;8.1;Tres bien;4
497;2023;Amiral-Fondary; 139;8.2;Tres bien;1
498;2023;Le Temple De Jeanne; 204;8.8;Superbe;2
